eval_loss ,f1_score ,precision ,recall ,type_algo,algo
0.23,0.6,0.58,0.62,camembert,idb-ita-gilberto-uncased-from-camembert
0.18,0.76,0.74,0.77,camembert,camembert-camembert-large
0.19,0.73,0.73,0.72,camembert,fmikaelian-camembert-base-fquad
0.21,0.71,0.71,0.71,camembert,illuin-camembert-large-fquad
0.2,0.71,0.72,0.71,camembert,fmikaelian-camembert-base-squad
0.21,0.67,0.7,0.64,camembert,illuin-camembert-base-fquad
0.21,0.67,0.7,0.64,camembert,camembert-camembert-base
0.19,0.73,0.74,0.73,camembert,camembert-camembert-base-ccnet
0.19,0.74,0.75,0.73,camembert,camembert-camembert-base-oscar-4gb
0.19,0.72,0.73,0.72,camembert,camembert-camembert-base-ccnet-4gb
0.2,0.71,0.72,0.7,camembert,camembert-camembert-base-wikipedia-4gb
