sentence_id	words	labels
0	:	O
0	:	O
0	:	O
0	:	O
0	:	O
0	:	O
0	:	O
0	:	O
0	:	O
0	:	O
0	:	O
0	:	O
0	:	O
0	:	O
0	0564932/txt/X0000001	O
0	.	O
1	txt	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	:	O
1	0564932/txt/X0000002	O
1	.	O
2	txt	O
2	:	O
2	:	O
2	:	O
2	:	O
2	:	O
2	:	O
2	:	O
2	:	O
2	:	O
2	:	O
2	:	O
2	:	O
2	:	O
2	:mmmm	O
2	Le	O
2	Petit	I-ORG
2	Parisien	I-ORG
2	KtM	O
2	.	O
3	Fragson	I-PERS
3	,	O
3	a*l-ejle	O
3	conté	O
3	,	O
3	je	O
3	ne	O
3	i\ii	O
3	ai	O
3	Ipninif	O
3	que	O
3	deux	O
3	maîtresses	O
3	qui	O
3	ont	O
3	vécu	O
3	'	O
3	̃̃̃	O
3	nullement	O
3	avec	O
3	lui	O
3	.	O
4	L'	O
4	une	O
4	et	O
4	l'	O
4	autre	O
4	se	O
4	•	O
4	it	O
4	montrées	O
4	toujours	O
4	déférentes	O
4	à	O
4	l'	O
4	enPot	O
4	,	O
4	mais	O
4	ce	O
4	dernier	O
4	qui	O
4	aurait	O
4	'	O
4	Il	O
4	,	O
4	K-	O
4	crois	O
4	,	O
4	que	O
4	son	O
4	fils	O
4	ne	O
4	vît	O
4	personne	O
4	lui	O
4	,	O
4	s'	O
4	en	O
4	montrait	O
4	terriblement	O
4	ainsi	O
4	que	O
4	'	O
4	IL	O
4	Fragson	I-PERS
4	recevait	O
4	,.1,1	O
4	-il	O
4	.	O
5	(	O
5	les	O
5	lettres	O
5	anonymes	O
5	,	O
5	soit	O
5	Mme	O
5	Alice	I-PERS
5	Lapice	I-PERS
5	,	O
5	sa	O
5	première	O
5	maisoit	O
5	contre	O
5	Paillette	I-PERS
5	,	O
5	la	O
5	seconde	O
5	,	O
5	Il	O
5	plaindre	O
5	ù	O
5	moi	O
5	et	O
5	me	O
5	disait	O
5	que	O
5	éta	O
5	;	O
5	t	O
5	certainement	O
5	son	O
5	père	O
5	.	O
6	\vcuil-hier	O
6	soir	O
6	,	O
6	mon	O
6	maître	O
6	m'	O
6	avait	O
6	donné	O
6	billet	O
6	pour	O
6	l'	O
6	Âlhanibra	O
6	.	O
7	Connaissant	O
7	le	O
7	(	O
7	ai-jcf'1	O
7	̃	O
7	>n	O
7	père	O
7	,	O
7	il	O
7	m'	O
7	avait	O
7	recommande	O
7	i.	O
7	s	O
7	dire	O
7	que	O
7	j'	O
7	allais	O
7	au	O
7	theàmais	O
7	de	O
7	prétexter	O
7	une	O
7	invitation	O
7	à	O
7	dîner	O
7	•	O
7	•	O
7	?	O
8	.	O
9	une	O
9	de	O
9	mes	O
9	cousines	O
9	.	O
10	-heures	O
10	,	O
